,Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA,Patch
0,Aatrox,Fighter,TOP,A,58.25,6.52,49.97,94.62,4.43,2.03,1.97,12.1
1,Ahri,Mage,MID,A,53.21,-0.24,49.93,93.47,4.62,1.04,2.56,12.1
2,Akali,Assassin,MID,S,65.3,6.51,48.59,65.65,8.16,12.88,2.34,12.1
3,Akali,Assassin,TOP,A,57.87,3.34,48.57,34.06,4.24,12.88,2.04,12.1
4,Akshan,Marksman,MID,S,59.85,0.65,51.46,58.01,4.83,21.91,2.23,12.1
5,Akshan,Marksman,TOP,A,55.89,-0.46,51.58,33.45,2.71,21.91,1.97,12.1
6,Alistar,Tank,SUPPORT,B,46.08,-2.74,49.92,98.55,3.65,0.84,2.51,12.1
7,Amumu,Tank,JUNGLE,B,45.69,1.72,50.27,83.11,3.13,1.51,2.62,12.1
8,Amumu,Tank,SUPPORT,C,35.88,2.55,50.09,14.95,0.44,1.64,2.05,12.1
9,Anivia,Mage,MID,A,53.38,-1.26,51.97,82.16,3.32,3.03,2.66,12.1
10,Anivia,Mage,SUPPORT,D,31.74,-1.46,47.66,12.51,0.44,3.03,2.18,12.1
11,Annie,Mage,MID,A,48.81,6.23,52.45,85.0,2.17,0.71,2.39,12.1
12,Aphelios,Marksman,ADC,C,35.96,-1.67,47.36,98.34,5.79,1.46,2.03,12.1
13,Ashe,Marksman,ADC,B,43.08,-9.95,49.66,93.4,6.03,1.11,2.32,12.1
14,Aurelion Sol,Mage,MID,B,42.15,-2.74,50.81,91.23,0.89,0.25,2.55,12.1
15,Azir,Mage,MID,D,32.69,2.09,46.67,90.68,1.12,0.21,2.1,12.1
16,Bard,Support,SUPPORT,A,49.81,2.27,50.23,98.67,4.05,1.0,2.97,12.1
17,Blitzcrank,Tank,SUPPORT,S,67.8,-0.81,51.87,99.49,8.61,18.23,2.44,12.1
18,Brand,Mage,SUPPORT,B,45.21,-4.17,49.18,79.04,4.68,5.87,1.77,12.1
19,Brand,Mage,MID,B,41.21,1.44,51.68,12.83,0.82,6.43,2.04,12.1
20,Braum,Support,SUPPORT,A,46.74,2.77,50.73,99.4,2.87,0.39,2.79,12.1
21,Caitlyn,Marksman,ADC,God,88.48,-0.16,50.09,98.7,21.3,18.96,2.31,12.1
22,Camille,Fighter,TOP,God,84.61,9.6,50.2,96.8,7.17,7.54,1.99,12.1
23,Cassiopeia,Mage,MID,B,44.08,-2.0,50.3,71.9,2.43,1.36,2.09,12.1
24,Cassiopeia,Mage,TOP,D,26.2,-7.91,49.47,17.98,0.68,1.36,1.83,12.1
25,Cho'Gath,Tank,TOP,A,52.76,2.64,52.82,72.56,2.59,0.95,2.2,12.1
26,Cho'Gath,Tank,MID,C,37.75,-4.65,49.57,17.42,0.55,0.95,2.37,12.1
27,Corki,Marksman,MID,A,58.2,0.29,49.38,92.76,6.79,3.91,2.17,12.1
28,Darius,Fighter,TOP,God,83.96,16.49,50.37,95.85,6.58,15.17,1.87,12.1
29,Diana,Fighter,JUNGLE,God,82.96,44.71,51.46,83.98,12.19,12.81,2.49,12.1
30,Diana,Fighter,MID,A,49.05,4.03,52.62,15.14,2.17,12.81,2.2,12.1
31,Dr. Mundo,Marksman,TOP,S,62.73,-2.08,51.76,91.81,4.06,2.97,2.26,12.1
32,Draven,Fighter,ADC,B,46.38,-4.53,50.52,95.9,6.3,12.39,2.16,12.1
33,Ekko,Assassin,JUNGLE,A,55.93,-1.56,49.91,64.39,6.16,4.09,2.74,12.1
34,Ekko,Assassin,MID,A,46.78,0.91,49.67,33.37,3.26,4.09,2.24,12.1
35,Elise,Mage,JUNGLE,B,40.59,-3.1,49.48,94.98,2.22,1.66,2.56,12.1
36,Evelynn,Assassin,JUNGLE,A,48.04,-1.54,49.64,98.86,3.46,8.85,2.94,12.1
37,Ezreal,Marksman,ADC,God,75.98,1.83,49.28,97.47,20.07,5.2,2.39,12.1
38,Fiddlesticks,Mage,JUNGLE,B,46.01,-1.29,50.54,92.05,2.91,2.86,2.68,12.1
39,Fiora,Fighter,TOP,S,75.08,4.32,50.05,97.65,6.08,10.76,1.76,12.1
40,Fizz,Assassin,MID,A,52.25,1.44,50.83,96.26,3.83,4.53,2.46,12.1
41,Galio,Tank,MID,A,46.86,0.84,50.38,63.28,2.28,0.54,2.71,12.1
42,Galio,Tank,SUPPORT,C,36.89,-1.3,48.87,33.91,1.22,0.54,2.35,12.1
43,Gangplank,Fighter,TOP,S,65.59,14.31,47.66,87.34,5.92,4.44,1.99,12.1
44,Gangplank,Fighter,MID,C,36.57,3.4,48.67,12.95,0.9,4.41,2.23,12.1
45,Garen,Fighter,TOP,S,73.99,15.67,51.55,87.46,5.74,2.13,2.1,12.1
46,Gnar,Fighter,TOP,A,47.1,4.58,49.86,97.87,3.05,0.6,2.01,12.1
47,Gragas,Fighter,TOP,C,37.47,-2.35,48.75,39.67,1.96,0.32,2.24,12.1
48,Gragas,Fighter,JUNGLE,C,36.1,-7.55,48.0,40.6,1.64,0.32,2.7,12.1
49,Gragas,Fighter,SUPPORT,D,32.15,-2.55,47.64,11.54,0.49,0.32,2.25,12.1
50,Graves,Marksman,JUNGLE,S,59.84,-9.95,49.28,67.07,7.51,9.44,2.58,12.1
51,Graves,Marksman,TOP,B,42.78,-7.19,49.1,25.53,2.75,9.44,1.72,12.1
52,Gwen,Fighter,TOP,A,54.66,13.03,49.82,82.83,4.23,2.43,1.73,12.1
53,Gwen,Fighter,JUNGLE,C,38.68,5.74,51.35,13.4,0.7,2.43,2.36,12.1
54,Hecarim,Fighter,JUNGLE,S,71.27,12.91,51.18,99.23,8.94,8.04,3.02,12.1
55,Heimerdinger,Mage,MID,C,35.89,-1.34,49.28,35.85,0.8,0.81,1.96,12.1
56,Heimerdinger,Mage,ADC,C,34.01,-1.93,51.76,15.56,0.29,0.81,2.23,12.1
57,Heimerdinger,Mage,SUPPORT,C,33.85,-1.74,49.85,10.09,0.2,0.92,1.83,12.1
58,Heimerdinger,Mage,TOP,D,24.16,-8.38,48.87,38.86,0.8,0.81,1.65,12.1
59,Illaoi,Fighter,TOP,C,34.11,-3.45,49.16,92.36,2.07,2.53,1.49,12.1
60,Irelia,Fighter,TOP,God,81.35,-5.02,49.1,60.0,6.24,23.51,1.58,12.1
61,Irelia,Fighter,MID,A,48.07,-1.08,48.24,39.17,4.1,23.51,1.75,12.1
62,Ivern,Support,JUNGLE,C,38.83,1.46,48.09,85.02,1.21,0.34,3.41,12.1
63,Janna,Support,SUPPORT,A,51.92,-3.82,50.56,95.2,4.6,0.57,3.0,12.1
64,Jarvan IV,Tank,JUNGLE,A,54.92,4.21,51.04,93.41,4.22,0.54,3.37,12.1
65,Jax,Fighter,TOP,God,82.16,3.63,50.68,85.79,6.84,10.98,1.63,12.1
66,Jax,Fighter,JUNGLE,C,34.7,-5.49,49.4,13.26,1.11,10.39,2.13,12.1
67,Jayce,Fighter,TOP,S,73.56,-5.02,49.44,74.77,6.54,4.13,1.78,12.1
68,Jayce,Fighter,MID,B,39.29,-2.3,48.62,24.13,1.97,4.13,2.05,12.1
69,Jhin,Marksman,ADC,God,94.23,3.23,51.03,99.02,24.55,5.81,3.01,12.1
70,Jinx,Marksman,ADC,God,86.76,-1.22,51.32,99.51,22.27,6.98,2.43,12.1
71,Kai'Sa,Marksman,ADC,God,75.52,10.5,49.48,97.77,19.45,5.95,2.42,12.1
72,Kalista,Marksman,ADC,D,31.51,-0.06,49.03,91.41,1.53,0.27,2.3,12.1
73,Karma,Mage,SUPPORT,S,63.43,6.96,48.91,92.05,10.22,2.96,2.73,12.1
74,Karthus,Mage,ADC,B,42.26,-1.65,54.98,21.05,0.95,3.3,2.23,12.1
75,Karthus,Mage,MID,B,42.13,3.77,52.58,11.76,0.41,3.3,2.19,12.1
76,Karthus,Mage,JUNGLE,B,39.58,0.6,49.39,57.8,2.09,3.3,2.45,12.1
77,Kassadin,Assassin,MID,A,58.16,-7.74,51.42,97.04,4.54,14.43,2.49,12.1
78,Katarina,Assassin,MID,S,61.99,-0.88,49.59,94.72,7.12,9.89,2.29,12.1
79,Kayle,Fighter,TOP,A,48.25,-5.26,50.71,72.51,3.11,1.19,1.8,12.1
80,Kayle,Fighter,MID,B,40.73,-8.21,50.63,25.67,0.97,1.19,2.28,12.1
81,Kayn,Fighter,JUNGLE,S,69.12,1.38,49.95,97.8,9.7,12.18,2.41,12.1
82,Kennen,Mage,MID,B,40.4,-1.04,51.35,15.0,0.34,0.67,2.37,12.1
83,Kennen,Mage,TOP,C,35.49,0.47,48.62,83.5,2.0,0.7,1.98,12.1
84,Kha'Zix,Assassin,JUNGLE,S,60.25,-2.33,50.17,98.88,7.47,7.01,2.47,12.1
85,Kindred,Marksman,JUNGLE,B,46.69,-1.77,50.47,91.82,3.87,2.49,2.26,12.1
86,Kled,Fighter,MID,A,48.84,0.0,55.14,10.23,0.19,0.83,2.7,12.1
87,Kled,Fighter,TOP,B,40.27,-4.86,50.36,88.47,1.69,0.78,2.32,12.1
88,Kog'Maw,Marksman,ADC,B,39.8,-2.8,52.79,89.17,1.98,0.44,2.21,12.1
89,LeBlanc,Assassin,MID,A,59.14,-1.18,48.85,94.88,5.79,11.95,2.82,12.1
90,Lee Sin,Fighter,JUNGLE,God,91.89,0.28,48.45,96.61,15.29,16.26,2.82,12.1
91,Leona,Tank,SUPPORT,S,65.44,-0.99,49.61,99.42,9.88,13.97,2.34,12.1
92,Lillia,Fighter,JUNGLE,B,42.51,-1.69,49.35,85.39,2.74,0.95,2.66,12.1
